City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Iralaya,HN,89.6,scattered clouds,15.0,-83.23,Iglesia morava renovada
561,Sipovo,BA,75.49,broken clouds,44.28,17.08,Domaćinstvo Todorčević
563,Yanam,IN,80.6,clear sky,16.73,82.22,The Regency Hotel
564,Tabou,CI,76.46,scattered clouds,4.42,-7.35,hotêl doufoulougou
565,La Asuncion,VE,84.45,overcast clouds,11.03,-63.86,Colinas de Matasiete
566,Umm Lajj,SA,88.99,clear sky,25.02,37.27,Moon light Furnished Units
570,Starkville,US,87.8,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
571,Pascagoula,US,78.8,heavy intensity rain,30.37,-88.56,Regency Inn
573,Wawa,NG,79.18,light rain,9.9,4.42,
574,Halifax,CA,75.99,broken clouds,44.65,-63.57,Hotel Halifax
576,Gat,IL,84.99,clear sky,31.61,34.76,רגע בנחת
577,Sikasso,ML,78.66,moderate rain,10.92,-7.0,
579,Dzaoudzi,YT,77.0,broken clouds,-12.79,45.27,Le Rocher
583,Tirumullaivasal,IN,83.59,broken clouds,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
584,Nsanje,MW,86.41,clear sky,-16.92,35.26,Nsanje Discovery Lodge
585,Gamboma,CG,83.32,broken clouds,-1.88,15.86,Hotel Vianette
588,Santa Cruz,BO,89.6,broken clouds,-17.8,-63.17,Hotel Cortez
589,Siguiri,GN,80.65,light rain,11.67,-9.5,
594,Jaisinghnagar,IN,75.69,clear sky,23.7,81.38,Sonu Up Dhawa
595,Owando,CG,75.49,light rain,-0.48,15.9,Exaunel Hotel Owando
596,Samana,DO,87.8,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
597,Chimoio,MZ,82.4,smoke,-19.12,33.48,Predio Livraria Ahmed
601,Tallahassee,US,82.4,broken clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
602,Tharad,IN,78.44,moderate rain,24.4,71.63,Shree Nandan Couriyar Service
603,Palmas Bellas,PA,82.0,light rain,9.23,-80.09,Estación de Chagres
604,Biltine,TD,83.41,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
610,Sensuntepeque,SV,89.6,clear sky,13.87,-88.63,Hotel California
616,Diu,IN,77.09,moderate rain,20.71,70.98,Hotel Relax Inn
617,Gualaquiza,EC,77.04,light rain,-3.4,-78.55,Hotel Merceditas
620,Elizabeth City,US,86.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
622,Warah,PK,84.34,light rain,27.45,67.8,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
625,Portoferraio,IT,77.0,broken clouds,42.81,10.31,Hotel Villa Ombrosa
631,Shetpe,KZ,75.16,few clouds,44.17,52.12,Rtsm Shetpe Analog
632,Orlovka,RU,76.64,clear sky,44.69,44.17,
634,Ampanihy,MG,75.2,scattered clouds,-24.7,44.75,Angora Hotel
639,Pontes E Lacerda,BR,85.55,overcast clouds,-15.23,-59.34,Hotel Bressan
640,Santo Tomas,PH,80.6,moderate rain,14.11,121.14,Microtel by Wyndham Batangas
642,Follonica,IT,79.0,overcast clouds,42.93,10.76,Hotel Parrini
645,Kapoeta,SS,80.62,scattered clouds,4.77,33.59,Eastgate Hotel
647,Carutapera,BR,87.58,light rain,-1.2,-46.02,Lidera
648,Bonthe,SL,78.08,light rain,7.53,-12.51,Bonthe Holiday Village
654,Zar,AM,80.6,clear sky,40.26,44.73,Բերդշեն հին գյուղատեղի
655,Una,IN,76.28,light rain,20.82,71.03,Hotel Ghanshyam
659,Matadi,CD,81.03,few clouds,-5.82,13.45,Hotel Fortune
660,Abu Zabad,SD,81.28,light rain,12.35,29.25,محي الدين نوري
661,Pout,SN,86.0,scattered clouds,14.77,-17.06,chez sada niang
662,Satellite Beach,US,89.01,light rain,28.18,-80.59,Radisson Suite Hotel Oceanfront
663,Dingle,PH,77.5,overcast clouds,11.0,122.67,Camp Pasica
664,Kamina,CD,77.11,broken clouds,-8.74,24.99,Guest House la Grace
665,Ponnani,IN,78.8,mist,10.77,75.93,Rouba Residency
668,Shirvan,AZ,78.46,clear sky,39.95,48.9,Hotel Empire
670,Kirkwood,US,78.01,broken clouds,38.58,-90.41,Holiday Inn St Louis SW - Route 66
