City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,Riyadh,24.69,46.72,102.2,10,19,16.11,SA,2020-08-30 08:48:31
292,Takoradi,4.88,-1.76,76.15,83,95,8.16,GH,2020-08-30 08:51:47
293,Cangucu,-31.39,-52.68,50.0,90,99,5.01,BR,2020-08-30 08:51:48
294,Sayyan,15.17,44.32,73.62,26,74,11.01,YE,2020-08-30 08:51:48
295,Labrea,-7.26,-64.8,73.33,83,100,0.65,BR,2020-08-30 08:51:48
296,Bardiyah,31.76,25.09,84.2,46,0,5.12,LY,2020-08-30 08:51:48
297,Aripuana,-9.17,-60.63,73.9,64,0,1.99,BR,2020-08-30 08:51:49
298,Natal,-5.79,-35.21,75.2,88,75,9.17,BR,2020-08-30 08:51:49
299,Tornio,65.85,24.15,59.0,67,99,6.93,FI,2020-08-30 08:51:49
300,Ust-Tsilma,65.44,52.15,52.72,95,100,4.07,RU,2020-08-30 08:51:49
301,Amos,48.57,-78.12,51.01,93,90,4.7,CA,2020-08-30 08:49:58
302,Santa Cruz De Tenerife,28.47,-16.25,70.0,93,75,19.46,ES,2020-08-30 08:49:56
303,Semnan,35.57,53.4,84.2,16,0,4.7,IR,2020-08-30 08:47:05
